LeafNode,gate1,gate2,purity,relativeYield,absoluteYield
1,P26,,0.923925027563396,0.446219382321619,0.0945610471676822
2,P29,,0.64,0.110756123535676,0.0234709997743173
3,P32,P21,0.828828828828829,0.0489882854100106,0.0103814037463327
4,P35,,0.898305084745763,0.0564430244941427,0.0119611825772963
5,P38,,0.357142857142857,0.0292864749733759,0.00620627397878583
6,P41,,0.906542056074766,0.154952076677316,0.0328368314150305
