ClusterID	CFP	GFP	mCherry
6	17927.580078125	2322.83984375	-104.76000213623
5	12408.9599609375	4772.81982421875	1035.18005371094
4	7335.39013671875	9143.1591796875	-681.480041503906
7	9044.51953125	2024.8798828125	353.700012207031
6	12970.6201171875	3102.83984375	712.260009765625
2	3171.23999023438	6558.23974609375	252.18000793457
4	8113.02001953125	5022.419921875	-1064.88000488281
5	25534.830078125	9746.099609375	-18.9000015258789
7	12356.51953125	20.2799987792969	-2451.06005859375
8	4912.7998046875	831.47998046875	621
4	8554.6201171875	6466.19970703125	-1124.28002929688
3	2813.82006835938	19400.16015625	-305.640014648438
5	19292.400390625	5374.97998046875	-136.620010375977
3	5417.18994140625	13200.7197265625	723.06005859375
6	21914.400390625	4593.419921875	-1129.14001464844
5	10816.4404296875	5991.9599609375	-447.120025634766
8	2791.73999023438	4692.47998046875	-1675.6201171875
5	12930.599609375	4551.2998046875	-767.340026855469
6	12486.9296875	996.839965820313	-2037.42004394531
3	5204.669921875	9138.4794921875	334.800018310547
7	10180.9501953125	1411.79992675781	-971.460021972656
2	29501.640625	127054.9765625	262143
2	2641.32006835938	5655	-1637.82006835938
6	15555.3603515625	1785.419921875	-454.680023193359
7	10641.8701171875	-638.819946289063	-544.860046386719
5	18418.859375	8820.2392578125	1964.52001953125
5	13041	6387.419921875	394.740020751953
6	13720.650390625	-278.459991455078	-1443.96008300781
2	5108.759765625	10525.3193359375	2123.28002929688
6	11624.4296875	2878.97998046875	-516.780029296875
8	7770.77978515625	-222.299987792969	-2193.47998046875
5	13003.740234375	10090.080078125	-427.680023193359
2	8320.01953125	5279.0400390625	3861.5400390625
1	1934.06994628906	12385.619140625	32876.8203125
7	10937.1904296875	1128.65991210938	-13.5000009536743
8	8771.2802734375	1325.21997070313	466.02001953125
1	4079.96997070313	17053.138671875	7215.48046875
2	3988.88989257813	10718.759765625	2064.42016601563
5	18734.189453125	9059.69921875	-134.460006713867
4	8188.919921875	5054.39990234375	-200.880004882813
6	17919.990234375	808.079956054688	-505.440032958984
4	7469.93994140625	8973.1201171875	-768.960021972656
5	23015.640625	12775.619140625	-1888.38012695313
8	6080.97021484375	3271.31982421875	241.920013427734
6	12888.509765625	688.739990234375	-884.52001953125
2	1835.40002441406	12813.83984375	1801.44006347656
5	9544.76953125	3587.99975585938	-568.619995117188
3	4219.35009765625	15016.5595703125	654.480041503906
5	9359.16015625	5099.6396484375	-482.760009765625
2	1809.18005371094	10863.0595703125	-505.440032958984
8	88.3199996948242	331.5	1695.06005859375
4	9967.0498046875	14610.1796875	-718.740051269531
5	11761.740234375	3016.26000976563	-108.000007629395
1	4660.9501953125	29508.958984375	7574.580078125
8	248.399993896484	2194.13989257813	-1161.5400390625
3	7291.22998046875	12395.759765625	-1591.38000488281
1	1731.90002441406	8400.599609375	12173.220703125
4	5716.64990234375	4736.93994140625	-1205.82006835938
1	2339.10009765625	6098.81982421875	4686.66015625
5	16232.25	5158.1396484375	123.120002746582
6	17076.810546875	3518.57983398438	-413.100006103516
7	8765.0703125	2458.55981445313	1583.82006835938
3	6595.02001953125	11538.5400390625	-1180.98010253906
2	3027.71997070313	3734.63989257813	1104.84008789063
4	8856.150390625	11615.759765625	-754.920043945313
3	5084.60986328125	15156.1796875	-2047.14013671875
4	5822.91015625	9095.580078125	773.280029296875
