LeafNode,gate1,gate2,purity,relativeYield,absoluteYield
1,P44,,0.932242990654206,0.667224080267559,0.0900473933649289
2,P47,,0.964071856287425,0.134615384615385,0.0181674565560821
3,P50,,0.491803278688525,0.0250836120401338,0.003385240352065
4,P53,,0.727272727272727,0.0802675585284281,0.010832769126608
